term_id,ledger_class,owner,mathematical_definition,conjugate_input,conjugate_rate,sign_in_balance,stage_status,double_count_guard,verification_id
E_CELL_AREA,stored_energy,cell_passive,"sum_s 0.5*kA_s*A0_s*(A_s/A0_s-1)^2; gamma_s=0",cell nodal position,cell nodal velocity,lhs_time_derivative,frozen_stage0_not_authorized,"A0 is exact and active contraction has no gamma ownership",ENERGY-CELL-DERIVATIVE
E_CELL_BEND,stored_energy,cell_passive,"sum_e 0.5*kb_e*(l_e^2/A_diamond_e)*(theta_e-theta0_e)^2",cell nodal position,cell nodal velocity,lhs_time_derivative,frozen_stage0_not_authorized,"one oriented contribution per persistent hinge",ENERGY-CELL-DERIVATIVE
E_CELL_VOL,stored_energy,cell_passive,"0.5*kV*V0*(V/V0-1)^2",cell volume,volume rate,lhs_time_derivative,frozen_stage0_not_authorized,"V0 is exact finalized reference volume",ENERGY-CELL-DERIVATIVE
E_STERIC,stored_energy,dynamic_closed_surface_owner,"sum_ordered_source_target 0.5*k_rep*A_vertex0*max(-g_closed_surface,0)^2",global signed distance to complete closed target surface,selected closest-feature relative velocity,lhs_time_derivative,frozen_stage0_not_authorized,"one global feature owner per ordered source vertex; exterior ECM surface only; no extra factor two",STERIC-DIRECTIONAL-DERIVATIVE
E_ADH_NORMAL,stored_energy,frozen_material_tether,"sum reference_face_area*phi_n(delta_g); delta_g=g-g0_pair; phi_n is constant for delta_g<0",material opening,material opening rate,lhs_time_derivative,frozen_stage0_not_authorized,"pair-specific g0; tension-only normal adhesion; 0<=g<g0_pair is declared compression slack",TETHER-DIRECTIONAL-DERIVATIVE
E_ADH_TANGENTIAL,stored_energy,frozen_material_tether,"sum reference_face_area*0.5*k_t*a(delta_g)*||delta_t||^2",objective material slip,material slip rate,lhs_time_derivative,frozen_stage0_not_authorized,"same frozen pair and owner as normal adhesion",TETHER-DIRECTIONAL-DERIVATIVE
E_ACTIVE,stored_energy,myocardial_preferred_length_controller,"0.5*kf*(Lf-Lf_star)^2",Lf and Lf_star,Lf_dot and Lf_star_dot,lhs_time_derivative,frozen_stage0_not_authorized,"stored energy is distinct from controller input",ACTIVE-POWER-SIGN
E_ECM_EQ,stored_energy,ECM_equilibrium,"integral [0.5*mu_eq*(tr(C_bar)-3)+0.5*kappa_eq*(ln J)^2] dV0",F,F_dot,lhs_time_derivative,frozen_stage0_not_authorized,"A_hat and H_ECM_hat own no source",ECM-ENERGY-DERIVATIVE
E_ECM_VE,stored_energy,ECM_viscoelastic_branch,"integral 0.25*mu_ve*||dev(C_bar)-Z||_F^2 dV0",F and Z,F_dot and Z_dot,lhs_time_derivative,frozen_stage0_not_authorized,"paired with D_ECM_INTERNAL once",ECM-RELAXATION
E_SUPPORT_OUTER,stored_energy,fixed_outer_environment,"0.5*sum_i w_i*(x_i-y_i)^T*K_outer*(x_i-y_i)",outer-support displacement,node velocity,lhs_time_derivative,frozen_stage0_not_authorized,"myocardium.opposite_outer only; y_dot=0",SUPPORT-FIXED-LEDGER
